# swept,text source × evidence source × scan status × (text-only / text+vision)
# dataset,mmlongbench
# scan,SPLIT digital vs scanned (the pooled parser table is scan: any)
# sampling,full
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,"TL/TLV for the layout parsers, T/TV for PyMuPDF"
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# delta column,"paired bootstrap on vision − text, not two marginals"
# transition columns,"paired within-question R→W / W→R across the vision step, on the same pairs as the delta"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
# scanned pool,201 questions over 31 documents split five ways; most scanned per-source cells are thin and daggered
text source (rungs),evidence_source,digital: text-only,digital: text+vision,digital: Δ (vision − text),digital: R→W (%),digital: W→R (%),digital: paired n,scanned: text-only,scanned: text+vision,scanned: Δ (vision − text),scanned: R→W (%),scanned: W→R (%),scanned: paired n
PaddleOCR-VL (TL→TLV),Chart,23.8 [16.3-32.0] (n=130),40.8 [30.0-50.7] (n=130),"+16.9 [+5.2, +28.4]",3.8 (5),20.8 (27),130,4.2 [0.0-10.9] (n=48),54.2 [35.1-72.9] (n=48),"+50.0 [+30.2, +68.8]",0.0 (0),50.0 (24),48
PaddleOCR-VL (TL→TLV),Figure,17.4 [12.1-23.5] (n=184),37.0 [29.6-45.1] (n=184),"+19.6 [+12.3, +26.2]",1.6 (3),21.2 (39),184,31.1 [20.9-41.7] (n=106),57.5 [46.9-68.2] (n=106),"+26.4 [+19.4, +33.6]",0.9 (1),27.4 (29),106
PaddleOCR-VL (TL→TLV),Generalized-text (Layout),43.8 [33.8-53.7] (n=80),47.5 [37.0-57.6] (n=80),"+3.7 [-3.5, +11.0]",3.8 (3),7.5 (6),80,26.3 [11.9-45.5] (n=38),57.9 [42.9-73.5] (n=38),"+31.6 [+17.2, +42.5]",0.0 (0),31.6 (12),38
PaddleOCR-VL (TL→TLV),Pure-text (Plain-text),50.9 [42.9-59.1] (n=226),54.9 [46.5-63.3] (n=226),"+4.0 [+0.0, +8.1]",3.5 (8),7.5 (17),226,35.4 [24.1-48.3] (n=65),55.4 [40.0-69.6] (n=65),"+20.0 [+9.4, +30.5]",0.0 (0),20.0 (13),65
PaddleOCR-VL (TL→TLV),Table,47.6 [38.6-55.5] (n=185),46.5 [38.5-53.7] (n=185),"-1.1 [-5.1, +3.4]",5.9 (11),4.9 (9),185,59.4 [43.3-73.3] (n=32),71.9 [60.0-82.9] (n=32),"+12.5 [+0.0, +29.2]",3.1 (1),15.6 (5),32
PaddleOCR-VL (TL→TLV),**All sources**,40.1 [35.1-44.9] (n=646),49.7 [44.6-54.2] (n=646),"+9.6 [+5.7, +13.4]",3.7 (24),13.3 (86),646,32.8 [26.2-40.0] (n=201),61.2 [53.1-68.8] (n=201),"+28.4 [+21.7, +34.8]",1.0 (2),29.4 (59),201
MinerU (TL→TLV),Chart,17.7 [10.6-24.2] (n=130),38.5 [29.3-46.9] (n=130),"+20.8 [+13.6, +29.5]",3.1 (4),23.8 (31),130,14.6 [3.7-29.0] (n=48),47.9 [31.7-65.1] (n=48),"+33.3 [+14.8, +53.5]",2.1 (1),35.4 (17),48
MinerU (TL→TLV),Figure,12.5 [7.4-18.4] (n=184),38.6 [30.5-47.5] (n=184),"+26.1 [+18.6, +34.2]",1.6 (3),27.7 (51),184,25.5 [16.1-33.9] (n=106),50.9 [40.7-60.7] (n=106),"+25.5 [+16.7, +33.6]",1.9 (2),27.4 (29),106
MinerU (TL→TLV),Generalized-text (Layout),20.0 [12.3-28.2] (n=80),43.8 [34.1-54.3] (n=80),"+23.8 [+14.3, +34.6]",2.5 (2),26.2 (21),80,18.4 [4.8-36.1] (n=38),50.0 [33.3-66.7] (n=38),"+31.6 [+14.7, +50.0]",2.6 (1),34.2 (13),38
MinerU (TL→TLV),Pure-text (Plain-text),30.1 [22.7-37.8] (n=226),49.1 [41.0-57.3] (n=226),"+19.0 [+11.3, +26.6]",3.1 (7),22.1 (50),226,30.8 [18.3-43.6] (n=65),53.8 [39.1-69.8] (n=65),"+23.1 [+13.5, +33.9]",0.0 (0),23.1 (15),65
MinerU (TL→TLV),Table,36.8 [27.5-45.3] (n=185),42.7 [35.0-50.3] (n=185),"+5.9 [-0.6, +13.0]",5.9 (11),11.9 (22),185,56.2 [37.8-73.9] (n=32),65.6 [50.0-80.0] (n=32),"+9.4 [-9.1, +25.8]",6.2 (2),15.6 (5),32
MinerU (TL→TLV),**All sources**,26.6 [22.0-31.4] (n=646),46.0 [41.2-50.3] (n=646),"+19.3 [+14.4, +23.5]",3.4 (22),22.8 (147),646,27.4 [20.7-34.6] (n=201),55.7 [47.7-63.6] (n=201),"+28.4 [+19.8, +38.0]",2.0 (4),30.3 (61),201
Unlimited-OCR (TL→TLV),Chart,23.8 [17.1-31.1] (n=130),42.3 [33.0-52.6] (n=130),"+18.5 [+9.2, +27.8]",3.8 (5),22.3 (29),130,2.1 [0.0-6.7] (n=48),58.3 [39.7-76.2] (n=48),"+56.2 [+36.0, +74.4]",0.0 (0),56.2 (27),48
Unlimited-OCR (TL→TLV),Figure,20.7 [15.0-26.8] (n=184),38.0 [30.6-46.6] (n=184),"+17.4 [+11.2, +24.7]",2.7 (5),20.1 (37),184,34.0 [25.6-41.4] (n=106),58.5 [50.0-66.0] (n=106),"+24.5 [+18.1, +31.4]",0.9 (1),25.5 (27),106
Unlimited-OCR (TL→TLV),Generalized-text (Layout),43.8 [34.6-52.9] (n=80),52.5 [41.6-62.5] (n=80),"+8.8 [+1.3, +16.3]",2.5 (2),11.2 (9),80,36.8 [21.6-52.5] (n=38),60.5 [44.7-76.5] (n=38),"+23.7 [+12.5, +34.2]",0.0 (0),23.7 (9),38
Unlimited-OCR (TL→TLV),Pure-text (Plain-text),50.4 [41.7-59.8] (n=226),53.1 [44.5-61.7] (n=226),"+2.7 [-2.0, +7.2]",4.4 (10),7.1 (16),226,36.9 [24.7-53.3] (n=65),56.9 [41.3-72.5] (n=65),"+20.0 [+8.8, +30.9]",0.0 (0),20.0 (13),65
Unlimited-OCR (TL→TLV),Table,49.7 [41.8-56.8] (n=185),48.1 [41.1-55.4] (n=185),"-1.6 [-5.6, +3.0]",6.5 (12),4.9 (9),185,59.4 [42.3-73.9] (n=32),71.9 [57.7-83.9] (n=32),"+12.5 [-5.7, +33.3]",6.2 (2),18.8 (6),32
Unlimited-OCR (TL→TLV),**All sources**,42.3 [37.2-47.2] (n=646),50.2 [45.1-54.7] (n=646),"+7.9 [+4.2, +11.7]",4.6 (30),12.5 (81),646,34.3 [26.8-41.6] (n=201),63.7 [55.4-70.6] (n=201),"+29.4 [+21.7, +36.2]",1.5 (3),30.8 (62),201
