# swept,visual_resolution (low / med / high)
# dataset,mmlongbench
# scan,any (digital+scanned)
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# representation,TLV/V only
# pool,answerable
# page_selection,oracle
# prompt_mode,none
doc_type,rung,low,med,high,n
Academic paper,TLV,38.5 [27.2-47.5],42.9 [32.3-52.2],50.9 [41.6-59.2],347
Academic paper,V,19.5 [12.7-26.7],30.7 [22.8-38.2],38.9 [29.9-47.8],456
Administration/Industry file,TLV,66.1 [51.8-80.9],72.7 [63.5-85.7],72.2 [60.0-86.0],165
Administration/Industry file,V,42.9 [31.1-53.3],52.5 [44.6-63.0],63.3 [53.2-73.8],184
Brochure,TLV,40.5 [28.9-52.2],43.1 [28.6-58.0],48.6 [35.1-63.2],216
Brochure,V,39.0 [28.0-51.3],45.5 [32.5-58.4],49.3 [36.8-63.0],229
Financial report,TLV,72.1 [62.7-81.0],72.1 [66.0-79.4],71.0 [66.2-75.3],198
Financial report,V,21.3 [11.9-28.6],36.1 [29.5-43.4],46.3 [38.9-53.2],324
Guidebook,TLV,47.3 [34.3-60.6],50.9 [37.5-64.2],54.3 [39.8-69.5],327
Guidebook,V,38.7 [29.1-47.7],47.5 [35.5-59.7],48.7 [37.0-60.5],354
Research report / Introduction,TLV,45.8 [35.7-54.5],53.7 [43.8-62.2],55.6 [44.6-64.7],558
Research report / Introduction,V,38.4 [29.4-46.6],48.3 [38.3-56.6],51.3 [41.9-58.7],613
Tutorial/Workshop,TLV,71.8 [63.1-80.2],76.6 [69.8-83.2],76.0 [69.6-81.7],321
Tutorial/Workshop,V,74.1 [67.7-81.2],69.1 [62.5-75.5],73.6 [66.7-80.2],328
n (per col),-,1576,1553,1491,-
