# swept,retriever × k (page P/R/F1)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,TLV/V
# pool,answerable
# page_selection,retrieved (bm25 text / colqwen2.5 vision / joint)
# prompt_mode,none
retriever,modality,k,doc_type,P,R,F1,n
bge-m3,text,1,Academic paper,0.364,0.276,0.301,154
bge-m3,text,1,Administration/Industry file,0.422,0.290,0.319,64
bge-m3,text,1,Brochure,0.390,0.299,0.324,77
bge-m3,text,1,Financial report,0.343,0.257,0.285,108
bge-m3,text,1,Guidebook,0.417,0.344,0.365,120
bge-m3,text,1,Research report / Introduction,0.330,0.239,0.267,212
bge-m3,text,1,Tutorial/Workshop,0.143,0.112,0.121,112
bge-m3,text,3,Academic paper,0.195,0.428,0.258,154
bge-m3,text,3,Administration/Industry file,0.271,0.458,0.299,64
bge-m3,text,3,Brochure,0.216,0.439,0.273,77
bge-m3,text,3,Financial report,0.179,0.396,0.240,108
bge-m3,text,3,Guidebook,0.225,0.496,0.297,120
bge-m3,text,3,Research report / Introduction,0.186,0.373,0.236,212
bge-m3,text,3,Tutorial/Workshop,0.077,0.166,0.100,112
bge-m3,text,5,Academic paper,0.162,0.545,0.240,154
bge-m3,text,5,Administration/Industry file,0.216,0.579,0.273,64
bge-m3,text,5,Brochure,0.164,0.558,0.240,77
bge-m3,text,5,Financial report,0.137,0.468,0.206,108
bge-m3,text,5,Guidebook,0.162,0.565,0.241,120
bge-m3,text,5,Research report / Introduction,0.142,0.451,0.204,212
bge-m3,text,5,Tutorial/Workshop,0.075,0.272,0.111,112
bge-m3,text,7,Academic paper,0.130,0.591,0.204,154
bge-m3,text,7,Administration/Industry file,0.190,0.683,0.256,64
bge-m3,text,7,Brochure,0.130,0.596,0.204,77
bge-m3,text,7,Financial report,0.107,0.503,0.173,108
bge-m3,text,7,Guidebook,0.125,0.608,0.199,120
bge-m3,text,7,Research report / Introduction,0.121,0.511,0.184,212
bge-m3,text,7,Tutorial/Workshop,0.062,0.307,0.097,112
bge-m3,text,10,Academic paper,0.114,0.694,0.188,154
bge-m3,text,10,Administration/Industry file,0.161,0.776,0.231,64
bge-m3,text,10,Brochure,0.105,0.672,0.174,77
bge-m3,text,10,Financial report,0.083,0.566,0.143,108
bge-m3,text,10,Guidebook,0.099,0.668,0.167,120
bge-m3,text,10,Research report / Introduction,0.105,0.608,0.168,212
bge-m3,text,10,Tutorial/Workshop,0.053,0.348,0.086,112
bge-m3|colqwen2.5,joint,1,Academic paper,0.487,0.556,0.494,154
bge-m3|colqwen2.5,joint,1,Administration/Industry file,0.539,0.554,0.500,64
bge-m3|colqwen2.5,joint,1,Brochure,0.513,0.572,0.508,77
bge-m3|colqwen2.5,joint,1,Financial report,0.380,0.465,0.397,108
bge-m3|colqwen2.5,joint,1,Guidebook,0.512,0.523,0.494,120
bge-m3|colqwen2.5,joint,1,Research report / Introduction,0.524,0.582,0.517,212
bge-m3|colqwen2.5,joint,1,Tutorial/Workshop,0.433,0.590,0.472,112
bge-m3|colqwen2.5,joint,3,Academic paper,0.244,0.760,0.355,154
bge-m3|colqwen2.5,joint,3,Administration/Industry file,0.274,0.705,0.341,64
bge-m3|colqwen2.5,joint,3,Brochure,0.234,0.731,0.333,77
bge-m3|colqwen2.5,joint,3,Financial report,0.171,0.625,0.262,108
bge-m3|colqwen2.5,joint,3,Guidebook,0.234,0.726,0.334,120
bge-m3|colqwen2.5,joint,3,Research report / Introduction,0.248,0.732,0.348,212
bge-m3|colqwen2.5,joint,3,Tutorial/Workshop,0.228,0.789,0.333,112
bge-m3|colqwen2.5,joint,5,Academic paper,0.174,0.828,0.275,154
bge-m3|colqwen2.5,joint,5,Administration/Industry file,0.208,0.818,0.286,64
bge-m3|colqwen2.5,joint,5,Brochure,0.168,0.876,0.270,77
bge-m3|colqwen2.5,joint,5,Financial report,0.119,0.684,0.199,108
bge-m3|colqwen2.5,joint,5,Guidebook,0.161,0.780,0.252,120
bge-m3|colqwen2.5,joint,5,Research report / Introduction,0.183,0.792,0.277,212
bge-m3|colqwen2.5,joint,5,Tutorial/Workshop,0.157,0.835,0.249,112
bm25,text,1,Academic paper,0.299,0.206,0.234,154
bm25,text,1,Administration/Industry file,0.328,0.218,0.238,64
bm25,text,1,Brochure,0.351,0.272,0.295,77
bm25,text,1,Financial report,0.213,0.194,0.201,108
bm25,text,1,Guidebook,0.417,0.332,0.357,120
bm25,text,1,Research report / Introduction,0.344,0.248,0.275,212
bm25,text,1,Tutorial/Workshop,0.089,0.073,0.077,112
bm25,text,3,Academic paper,0.234,0.477,0.300,154
bm25,text,3,Administration/Industry file,0.240,0.407,0.262,64
bm25,text,3,Brochure,0.199,0.407,0.251,77
bm25,text,3,Financial report,0.130,0.333,0.183,108
bm25,text,3,Guidebook,0.211,0.453,0.275,120
bm25,text,3,Research report / Introduction,0.203,0.388,0.248,212
bm25,text,3,Tutorial/Workshop,0.068,0.152,0.090,112
bm25,text,5,Academic paper,0.186,0.616,0.272,154
bm25,text,5,Administration/Industry file,0.200,0.544,0.253,64
bm25,text,5,Brochure,0.143,0.475,0.209,77
bm25,text,5,Financial report,0.087,0.366,0.138,108
bm25,text,5,Guidebook,0.145,0.500,0.214,120
bm25,text,5,Research report / Introduction,0.152,0.459,0.211,212
bm25,text,5,Tutorial/Workshop,0.061,0.235,0.093,112
bm25,text,7,Academic paper,0.147,0.676,0.232,154
bm25,text,7,Administration/Industry file,0.172,0.599,0.230,64
bm25,text,7,Brochure,0.122,0.558,0.192,77
bm25,text,7,Financial report,0.070,0.401,0.118,108
bm25,text,7,Guidebook,0.111,0.528,0.175,120
bm25,text,7,Research report / Introduction,0.128,0.510,0.189,212
bm25,text,7,Tutorial/Workshop,0.050,0.264,0.081,112
bm25,text,10,Academic paper,0.119,0.759,0.198,154
